Device: PM2003001		2022:11:08    11:33:34,096  (DLL version: 1.20;  Status: HW:v1.02 SW:v1.3 CRC:31ED BATTERY:4154mV ST:0 ERR:0000;  MUX data; S: 92 I:143 R:200.000 C:1.094p F:)
Excitation level, V:	2,00
Voltage Channel Gain:	5
Current Channel Gain:	1
Voltmeter Range, V:	0,6
Ampermeter Range, A:	15,0m
Step Period, ms:	5
R transimp:	200
C transimp:	1,1p
Measurement Table: 	EEPROM  16

Freq, Hz	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k	1,0k	2,0k	3,0k	7,0k	11,0k	17,0k	23,0k	31,0k	43,0k	61,0k	89,0k	127,0k	179,0k	251,0k	349,0k
	run	1	2022:11:08    11:33:34,100
MUX	Re1, ohm	Re2, ohm	Re3, ohm	Re4, ohm	Re5, ohm	Re6, ohm	Re7, ohm	Re8, ohm	Re9, ohm	Re10, ohm	Re11, ohm	Re12, ohm	Re13, ohm	Re14, ohm	Re15, ohm	Im1, ohm	Im2, ohm	Im3, ohm	Im4, ohm	Im5, ohm	Im6, ohm	Im7, ohm	Im8, ohm	Im9, ohm	Im10, ohm	Im11, ohm	Im12, ohm	Im13, ohm	Im14, ohm	Im15, ohm	U, V	I, mA
3,000	-20,487	-20,465	-20,435	-20,120	-19,912	-19,772	-19,697	-19,644	-19,591	-19,574	-19,535	-19,497	-19,448	-19,346	-19,219	0,065	0,211	0,317	0,469	0,456	0,375	0,329	0,287	0,251	0,210	0,209	0,221	0,228	0,240	0,181	0,000	0,000
4,000	-11,242	-11,320	-11,253	-11,257	-11,220	-11,229	-11,229	-11,232	-11,219	-11,213	-11,170	-11,104	-10,990	-10,794	-10,538	-0,289	-0,080	-0,047	0,017	0,031	0,039	0,061	0,076	0,113	0,166	0,246	0,321	0,399	0,448	0,366	0,000	0,000
5,000	-11,273	-11,086	-11,130	-11,123	-11,092	-11,067	-11,057	-11,051	-11,016	-11,020	-10,978	-10,922	-10,823	-10,643	-10,432	0,576	0,243	0,171	0,127	0,114	0,094	0,110	0,120	0,145	0,166	0,229	0,284	0,342	0,391	0,310	0,000	0,000
6,000	-5,654	-5,267	-5,095	-4,879	-4,787	-4,735	-4,702	-4,677	-4,647	-4,615	-4,578	-4,525	-4,450	-4,326	-4,173	1,412	0,950	0,733	0,466	0,369	0,290	0,259	0,231	0,215	0,217	0,233	0,257	0,280	0,299	0,233	0,000	0,000
7,000	-6,609	-6,393	-6,301	-6,150	-6,076	-6,039	-6,019	-6,008	-5,988	-5,985	-5,973	-5,954	-5,930	-5,889	-5,844	0,518	0,404	0,348	0,254	0,204	0,153	0,133	0,113	0,095	0,084	0,082	0,086	0,091	0,097	0,066	0,000	0,000
8,000	-20,139	-20,416	-20,447	-20,597	-20,607	-20,666	-20,703	-20,734	-20,749	-20,806	-20,819	-20,839	-20,843	-20,802	-20,758	-0,550	-0,363	-0,318	-0,221	-0,183	-0,174	-0,164	-0,143	-0,129	-0,108	-0,065	-0,025	0,005	0,047	0,048	0,000	0,000
9,000	-9,351	-9,349	-9,295	-9,128	-8,989	-8,875	-8,819	-8,767	-8,717	-8,679	-8,626	-8,571	-8,499	-8,381	-8,249	0,015	0,105	0,201	0,311	0,326	0,309	0,284	0,274	0,250	0,242	0,255	0,264	0,274	0,274	0,208	0,000	0,000
10,000	-9,322	-9,368	-9,272	-9,182	-9,114	-9,093	-9,070	-9,054	-9,033	-9,033	-9,010	-8,978	-8,924	-8,832	-8,732	-0,141	0,075	0,081	0,140	0,126	0,113	0,106	0,104	0,102	0,116	0,135	0,159	0,185	0,199	0,160	0,000	0,000
11,000	-9,489	-9,422	-9,396	-9,285	-9,208	-9,161	-9,124	-9,109	-9,076	-9,054	-9,021	-8,977	-8,914	-8,818	-8,703	0,048	0,093	0,134	0,179	0,179	0,162	0,158	0,149	0,148	0,157	0,180	0,201	0,222	0,230	0,174	0,000	0,000
12,000	-14,561	-14,585	-14,527	-14,486	-14,431	-14,416	-14,413	-14,406	-14,396	-14,407	-14,391	-14,347	-14,303	-14,194	-14,068	-0,041	0,048	0,076	0,084	0,078	0,063	0,061	0,068	0,068	0,078	0,119	0,157	0,196	0,225	0,178	0,000	0,000
13,000	-8,320	-8,385	-8,369	-8,395	-8,375	-8,362	-8,341	-8,320	-8,297	-8,267	-8,207	-8,145	-8,044	-7,889	-7,690	-0,111	-0,054	-0,034	0,021	0,050	0,087	0,114	0,127	0,159	0,198	0,247	0,296	0,339	0,364	0,288	0,000	0,000
14,000	-12,006	-11,854	-11,959	-11,888	-11,887	-11,857	-11,842	-11,843	-11,839	-11,829	-11,811	-11,773	-11,696	-11,549	-11,369	-0,038	-0,109	-0,026	0,041	0,049	0,053	0,063	0,065	0,087	0,107	0,160	0,206	0,277	0,317	0,262	0,000	0,000
15,000	-9,108	-9,184	-9,149	-9,146	-9,110	-9,104	-9,093	-9,077	-9,057	-9,049	-9,031	-9,002	-8,953	-8,884	-8,797	-0,173	-0,025	-0,021	0,041	0,045	0,048	0,057	0,073	0,081	0,090	0,113	0,130	0,152	0,168	0,131	0,000	0,000
	run	4	2022:11:08    11:33:34,346
0,000	-13,262	-13,307	-13,342	-13,429	-13,451	-13,474	-13,484	-13,493	-13,491	-13,504	-13,497	-13,473	-13,427	-13,338	-13,228	-0,204	-0,170	-0,158	-0,112	-0,093	-0,062	-0,042	-0,020	0,004	0,026	0,071	0,116	0,155	0,182	0,150	0,000	0,000
1,000	-16,640	-16,643	-16,576	-16,369	-16,210	-16,085	-16,019	-15,953	-15,899	-15,859	-15,803	-15,750	-15,690	-15,596	-15,486	0,002	0,165	0,227	0,353	0,380	0,341	0,323	0,293	0,273	0,251	0,244	0,248	0,250	0,242	0,174	0,000	0,000
2,000	-10,296	-10,282	-10,253	-10,116	-10,006	-9,928	-9,889	-9,846	-9,794	-9,762	-9,696	-9,617	-9,522	-9,375	-9,212	0,042	0,111	0,168	0,247	0,257	0,238	0,247	0,242	0,246	0,251	0,290	0,315	0,336	0,341	0,254	0,000	0,000
3,000	-20,487	-20,465	-20,435	-20,120	-19,912	-19,772	-19,697	-19,644	-19,591	-19,574	-19,535	-19,497	-19,448	-19,346	-19,219	0,065	0,211	0,317	0,469	0,456	0,375	0,329	0,287	0,251	0,210	0,209	0,221	0,228	0,240	0,181	0,000	0,000
4,000	-11,242	-11,320	-11,253	-11,257	-11,220	-11,229	-11,229	-11,232	-11,219	-11,213	-11,170	-11,104	-10,990	-10,794	-10,538	-0,289	-0,080	-0,047	0,017	0,031	0,039	0,061	0,076	0,113	0,166	0,246	0,321	0,399	0,448	0,366	0,000	0,000
5,000	-11,273	-11,086	-11,130	-11,123	-11,092	-11,067	-11,057	-11,051	-11,016	-11,020	-10,978	-10,922	-10,823	-10,643	-10,432	0,576	0,243	0,171	0,127	0,114	0,094	0,110	0,120	0,145	0,166	0,229	0,284	0,342	0,391	0,310	0,000	0,000
6,000	-5,654	-5,267	-5,095	-4,879	-4,787	-4,735	-4,702	-4,677	-4,647	-4,615	-4,578	-4,525	-4,450	-4,326	-4,173	1,412	0,950	0,733	0,466	0,369	0,290	0,259	0,231	0,215	0,217	0,233	0,257	0,280	0,299	0,233	0,000	0,000
7,000	-6,609	-6,393	-6,301	-6,150	-6,076	-6,039	-6,019	-6,008	-5,988	-5,985	-5,973	-5,954	-5,930	-5,889	-5,844	0,518	0,404	0,348	0,254	0,204	0,153	0,133	0,113	0,095	0,084	0,082	0,086	0,091	0,097	0,066	0,000	0,000
8,000	-20,242	-20,510	-20,538	-20,707	-20,722	-20,781	-20,821	-20,849	-20,870	-20,919	-20,943	-20,955	-20,965	-20,934	-20,893	-0,567	-0,364	-0,336	-0,231	-0,194	-0,186	-0,165	-0,157	-0,134	-0,113	-0,070	-0,034	-0,002	0,036	0,041	0,000	0,000
9,000	-9,826	-9,771	-9,703	-9,476	-9,321	-9,201	-9,139	-9,083	-9,029	-8,990	-8,941	-8,883	-8,806	-8,688	-8,549	0,052	0,179	0,269	0,375	0,370	0,336	0,315	0,284	0,271	0,252	0,270	0,274	0,288	0,288	0,215	0,000	0,000
10,000	-9,639	-9,675	-9,567	-9,442	-9,360	-9,325	-9,307	-9,290	-9,269	-9,263	-9,241	-9,203	-9,142	-9,047	-8,940	-0,109	0,111	0,128	0,177	0,153	0,138	0,124	0,123	0,115	0,127	0,146	0,168	0,202	0,212	0,169	0,000	0,000
11,000	-9,680	-9,581	-9,542	-9,398	-9,322	-9,268	-9,234	-9,214	-9,182	-9,159	-9,125	-9,078	-9,016	-8,915	-8,787	0,074	0,139	0,171	0,211	0,201	0,177	0,172	0,162	0,159	0,168	0,191	0,214	0,233	0,248	0,187	0,000	0,000
12,000	-15,016	-15,057	-15,004	-14,977	-14,919	-14,907	-14,898	-14,895	-14,886	-14,899	-14,879	-14,840	-14,787	-14,676	-14,546	-0,053	0,032	0,052	0,079	0,073	0,062	0,061	0,063	0,069	0,079	0,125	0,168	0,205	0,234	0,189	0,000	0,000
13,000	-8,488	-8,558	-8,534	-8,551	-8,533	-8,517	-8,502	-8,477	-8,453	-8,415	-8,365	-8,300	-8,198	-8,037	-7,842	-0,097	-0,051	-0,019	0,031	0,060	0,091	0,111	0,135	0,165	0,199	0,253	0,294	0,348	0,368	0,293	0,000	0,000
14,000	-12,128	-11,972	-12,080	-12,008	-12,007	-11,971	-11,951	-11,949	-11,940	-11,936	-11,923	-11,879	-11,798	-11,658	-11,466	-0,023	-0,113	-0,017	0,048	0,047	0,053	0,059	0,068	0,086	0,117	0,161	0,219	0,290	0,329	0,267	0,000	0,000
15,000	-9,181	-9,245	-9,213	-9,201	-9,164	-9,164	-9,153	-9,141	-9,120	-9,108	-9,092	-9,060	-9,013	-8,946	-8,861	-0,175	-0,029	-0,022	0,043	0,044	0,048	0,058	0,075	0,077	0,090	0,109	0,133	0,148	0,161	0,128	0,000	0,000
	run	5	2022:11:08    11:33:34,448
0,000	-13,271	-13,328	-13,368	-13,462	-13,488	-13,512	-13,517	-13,529	-13,529	-13,535	-13,527	-13,501	-13,454	-13,364	-13,257	-0,221	-0,186	-0,165	-0,123	-0,091	-0,069	-0,037	-0,021	-0,003	0,030	0,072	0,120	0,160	0,179	0,151	0,000	0,000
1,000	-16,726	-16,724	-16,644	-16,417	-16,253	-16,130	-16,061	-16,003	-15,950	-15,900	-15,847	-15,798	-15,739	-15,641	-15,531	-0,001	0,177	0,253	0,376	0,388	0,350	0,331	0,293	0,269	0,254	0,248	0,243	0,240	0,235	0,179	0,000	0,000
2,000	-10,383	-10,365	-10,329	-10,191	-10,087	-10,013	-9,969	-9,930	-9,878	-9,844	-9,777	-9,703	-9,606	-9,465	-9,302	0,044	0,115	0,167	0,250	0,259	0,238	0,245	0,240	0,245	0,250	0,282	0,315	0,334	0,335	0,254	0,000	0,000
3,000	-20,335	-20,317	-20,266	-19,960	-19,761	-19,622	-19,542	-19,493	-19,442	-19,427	-19,393	-19,355	-19,305	-19,209	-19,092	0,047	0,206	0,292	0,456	0,451	0,371	0,328	0,284	0,252	0,205	0,198	0,215	0,222	0,229	0,175	0,000	0,000
4,000	-10,898	-10,990	-10,923	-10,914	-10,885	-10,888	-10,888	-10,891	-10,878	-10,871	-10,840	-10,776	-10,666	-10,480	-10,241	-0,287	-0,062	-0,038	0,023	0,043	0,044	0,063	0,074	0,107	0,152	0,232	0,308	0,376	0,419	0,340	0,000	0,000
5,000	-10,802	-10,595	-10,666	-10,646	-10,619	-10,596	-10,580	-10,575	-10,548	-10,552	-10,516	-10,454	-10,368	-10,204	-10,003	0,565	0,238	0,167	0,120	0,103	0,088	0,103	0,119	0,134	0,154	0,212	0,271	0,325	0,362	0,291	0,000	0,000
6,000	-5,430	-5,066	-4,879	-4,693	-4,604	-4,552	-4,522	-4,499	-4,471	-4,445	-4,406	-4,358	-4,282	-4,165	-4,017	1,378	0,914	0,705	0,447	0,351	0,275	0,243	0,217	0,205	0,211	0,223	0,248	0,270	0,286	0,228	0,000	0,000
7,000	-6,425	-6,194	-6,116	-5,989	-5,915	-5,877	-5,853	-5,846	-5,824	-5,822	-5,809	-5,792	-5,769	-5,726	-5,685	0,516	0,392	0,328	0,242	0,196	0,140	0,125	0,107	0,095	0,082	0,089	0,086	0,092	0,092	0,070	0,000	0,000
8,000	-20,442	-20,723	-20,747	-20,925	-20,933	-20,984	-21,017	-21,052	-21,075	-21,126	-21,136	-21,156	-21,162	-21,123	-21,074	-0,565	-0,359	-0,330	-0,231	-0,189	-0,175	-0,162	-0,149	-0,128	-0,111	-0,067	-0,019	0,004	0,046	0,044	0,000	0,000
9,000	-9,904	-9,836	-9,777	-9,543	-9,399	-9,279	-9,214	-9,163	-9,114	-9,076	-9,014	-8,960	-8,882	-8,761	-8,617	0,076	0,182	0,262	0,369	0,363	0,335	0,313	0,279	0,264	0,256	0,264	0,281	0,290	0,294	0,220	0,000	0,000
10,000	-9,949	-9,948	-9,805	-9,652	-9,565	-9,529	-9,509	-9,495	-9,475	-9,469	-9,442	-9,405	-9,337	-9,245	-9,128	-0,074	0,169	0,194	0,214	0,178	0,153	0,139	0,134	0,124	0,133	0,156	0,175	0,211	0,220	0,175	0,000	0,000
